id	type	vector
2b93ab3b-5b6b-43fd-baa6-a7ca44d4974e	outbound	[0.20286327679587213, 0.9792070725478044, -4.32208314737206e-09]
520a584f-65b4-423a-b5ca-a831f3d52814	outbound	[0.9730709430978823, 0.23050583441335598, -3.5402800637994767e-09]
704fda87-91c7-4c67-b520-b8e189f7f7f7	outbound	[-0.9478349428342538, 0.31876154275945406, 1.4584642156021037e-08]
1f746381-8224-4883-b901-ef36ea61411d	outbound	[-0.9221039442482168, 0.3869422644295675, 1.8349102882706485e-09]
f192ce20-8647-4d8d-85c6-f5556533a937	outbound	[0.9503485255450244, -0.31118753187491, -6.398559392406995e-10]
2b93ab3b-5b6b-43fd-baa6-a7ca44d4974e	rest	[-0.9981101147784984, 0.06145078337053818, 4.5987011594604024e-11]
520a584f-65b4-423a-b5ca-a831f3d52814	rest	[0.9273160507949952, 0.37427922990459084, 3.242076372898182e-10]
2b93ab3b-5b6b-43fd-baa6-a7ca44d4974e	return	[-0.913320943636144, 0.4072405356979869, 6.268955265199978e-09]
e99b3c45-ed42-43e6-98d2-079539bd8d85	outbound	[0.7084241041959937, -0.7057869994510413, -2.415591852588167e-10]
1f746381-8224-4883-b901-ef36ea61411d	rest	[-0.6825282447629124, 0.7308592170184749, -3.630809128387382e-11]
704fda87-91c7-4c67-b520-b8e189f7f7f7	rest	[0.7032618227759928, 0.7109309450472585, 2.0357481973421626e-10]
520a584f-65b4-423a-b5ca-a831f3d52814	return	[0.92000052938795, -0.3919171161430587, 8.670541594165389e-10]
e2066d86-9f04-45c3-ae4e-919b8418a0bc	outbound	[-0.5572525707139746, 0.8303430450317905, 2.618170331230487e-08]
f192ce20-8647-4d8d-85c6-f5556533a937	rest	[0.9270038827992831, -0.37505173146521154, -1.2754252335516938e-10]
1f746381-8224-4883-b901-ef36ea61411d	return	[-0.47612939240205543, 0.8793752337261094, 3.5446966941512364e-11]
749f62c1-78ee-4907-ab17-688fb4ae1764	outbound	[0.013304878415517918, -0.9999114861878267, -2.020970542620486e-09]
0d05cfa3-ade8-4b2d-9063-ea6250c802b8	outbound	[-0.668993531644135, 0.7432682252177256, -5.2604573928251066e-11]
e99b3c45-ed42-43e6-98d2-079539bd8d85	rest	[-0.975039947266001, 0.22202950532646298, 2.8813008563024647e-10]
704fda87-91c7-4c67-b520-b8e189f7f7f7	return	[-0.3240311090392703, -0.946046426120188, -2.3932645653138878e-09]
f192ce20-8647-4d8d-85c6-f5556533a937	return	[0.7515382134914088, -0.6596895585517037, 2.017881709394938e-11]
749f62c1-78ee-4907-ab17-688fb4ae1764	rest	[-0.5374544955311095, -0.8432927517970263, -4.055652732028731e-09]
2dfc53fc-5147-468d-a594-0f201b24261a	outbound	[-0.9998973600558468, -0.014327224202485833, -4.29608720373885e-09]
